timestamp,gpu_name,detected_gpu_name,model,resolved_model,dtype,cache_mode,batch_size,seq_len,chunk_size,status,success,error_type,error_message,elapsed_sec,tokens_processed,throughput_tokens_per_sec,peak_memory_allocated_mib,peak_memory_reserved_mib,peak_vram_used_mib,final_vram_used_mib,final_cache_seq_len,oom,position_valid,max_position_embeddings,num_hidden_layers,num_attention_heads,num_key_value_heads,head_dim,kv_formula_type,kv_theory_mb,kv_actual_mb,kv_actual_over_theory,peak_memory_mb,theoretical_dynamic_kv_mib,cache_tensor_total_mib,cache_tensor_cuda_mib,quant_backend,quant_bits,measurement
2026-05-25T14:53:10,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,1024,128,OK,True,,,0.488314,1024,2097.012285,3013.599609,3210.000000,3439.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,28.000000,28.000000,1.000000,3013.599609,28.000000,28.000000,28.000000,,,chunked_cache_growth
2026-05-25T14:53:10,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,2048,128,OK,True,,,0.288604,2048,7096.237227,3047.982422,3248.000000,3483.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,56.000000,56.000000,1.000000,3047.982422,56.000000,56.000000,56.000000,,,chunked_cache_growth
2026-05-25T14:53:11,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,4096,128,OK,True,,,0.673919,4096,6077.883350,3116.998047,3356.000000,3591.000000,3401.000000,4096,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3116.998047,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-05-25T14:53:13,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,8192,128,OK,True,,,1.746990,8192,4689.208961,3254.404297,3594.000000,3829.000000,3401.000000,8192,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3254.404297,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-05-25T14:53:16,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,12288,128,OK,True,,,3.221298,12288,3814.610884,3393.060547,3966.000000,4201.000000,3401.000000,12288,False,True,32768,28,12,2,128,gqa_mqa,336.000000,336.000000,1.000000,3393.060547,336.000000,336.000000,336.000000,,,chunked_cache_growth
2026-05-25T14:53:22,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,1,16384,128,OK,True,,,5.101018,16384,3211.907880,3529.341797,4482.000000,4717.000000,3401.000000,16384,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3529.341797,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-05-25T14:53:22,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,1024,128,OK,True,,,0.221704,2048,9237.546948,3049.858398,3262.000000,3497.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,56.000000,56.000000,1.000000,3049.858398,56.000000,56.000000,56.000000,,,chunked_cache_growth
2026-05-25T14:53:23,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,2048,128,OK,True,,,0.490275,4096,8354.500858,3119.124023,3370.000000,3605.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3119.124023,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-05-25T14:53:24,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,4096,128,OK,True,,,1.178984,8192,6948.355557,3256.780273,3608.000000,3843.000000,3401.000000,4096,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3256.780273,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-05-25T14:53:27,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,8192,128,OK,True,,,3.162786,16384,5180.242476,3531.467773,4496.000000,4731.000000,3401.000000,8192,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3531.467773,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-05-25T14:53:34,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,12288,128,OK,True,,,5.954019,24576,4127.631846,3806.405273,5960.000000,6195.000000,3401.000000,12288,False,True,32768,28,12,2,128,gqa_mqa,672.000000,672.000000,1.000000,3806.405273,672.000000,672.000000,672.000000,,,chunked_cache_growth
2026-05-25T14:53:43,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,2,16384,128,OK,True,,,9.566068,32768,3425.440793,4081.467773,7436.000000,7671.000000,3401.000000,16384,False,True,32768,28,12,2,128,gqa_mqa,896.000000,896.000000,1.000000,4081.467773,896.000000,896.000000,896.000000,,,chunked_cache_growth
2026-05-25T14:53:44,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,1024,128,OK,True,,,0.401956,4096,10190.168799,3123.625977,3350.000000,3501.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,112.000000,112.000000,1.000000,3123.625977,112.000000,112.000000,112.000000,,,chunked_cache_growth
2026-05-25T14:53:45,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,2048,128,OK,True,,,0.904737,8192,9054.562626,3262.907227,3604.000000,3839.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3262.907227,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-05-25T14:53:47,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,4096,128,OK,True,,,2.200835,16384,7444.447492,3536.719727,4492.000000,4727.000000,3401.000000,4096,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3536.719727,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-05-25T14:53:54,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,8192,128,OK,True,,,6.005916,32768,5455.953992,4087.094727,7432.000000,7667.000000,3401.000000,8192,False,True,32768,28,12,2,128,gqa_mqa,896.000000,896.000000,1.000000,4087.094727,896.000000,896.000000,896.000000,,,chunked_cache_growth
2026-05-25T14:54:05,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,12288,128,OK,True,,,11.409927,49152,4307.827641,4636.719727,7442.000000,7677.000000,3401.000000,12288,False,True,32768,28,12,2,128,gqa_mqa,1344.000000,1344.000000,1.000000,4636.719727,1344.000000,1344.000000,1344.000000,,,chunked_cache_growth
2026-05-25T14:54:24,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,4,16384,128,OK,True,,,18.426446,65536,3556.627274,5186.594727,7442.000000,7677.000000,3401.000000,16384,False,True,32768,28,12,2,128,gqa_mqa,1792.000000,1792.000000,1.000000,5186.594727,1792.000000,1792.000000,1792.000000,,,chunked_cache_growth
2026-05-25T14:54:25,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,1024,128,OK,True,,,0.773763,8192,10587.214804,3268.911133,3606.000000,3841.000000,3401.000000,1024,False,True,32768,28,12,2,128,gqa_mqa,224.000000,224.000000,1.000000,3268.911133,224.000000,224.000000,224.000000,,,chunked_cache_growth
2026-05-25T14:54:27,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,2048,128,OK,True,,,1.731432,16384,9462.685199,3544.473633,4214.000000,4449.000000,3401.000000,2048,False,True,32768,28,12,2,128,gqa_mqa,448.000000,448.000000,1.000000,3544.473633,448.000000,448.000000,448.000000,,,chunked_cache_growth
2026-05-25T14:54:31,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,4096,128,OK,True,,,4.173979,32768,7850.542316,4095.598633,6582.000000,6817.000000,3401.000000,4096,False,True,32768,28,12,2,128,gqa_mqa,896.000000,896.000000,1.000000,4095.598633,896.000000,896.000000,896.000000,,,chunked_cache_growth
2026-05-25T14:54:43,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,8192,128,OK,True,,,11.237725,65536,5831.785580,5194.348633,7430.000000,7665.000000,3401.000000,8192,False,True,32768,28,12,2,128,gqa_mqa,1792.000000,1792.000000,1.000000,5194.348633,1792.000000,1792.000000,1792.000000,,,chunked_cache_growth
2026-05-25T14:55:04,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,12288,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 288.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 287.69 MiB is free. Including non-PyTorch memory, this process has 7.15 GiB memory in use. Of the allocated memory 5.81 GiB is allocated by PyTorch, and 1.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,97280,,6261.715820,7464.000000,7699.000000,3403.000000,12288,True,True,32768,28,12,2,128,gqa_mqa,2688.000000,,,6261.715820,2688.000000,,,,,chunked_cache_growth
2026-05-25T14:55:25,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,dynamic,8,16384,128,OOM,False,CUDA_OOM,"CUDA out of memory. Tried to allocate 288.00 MiB. GPU 0 has a total capacity of 7.52 GiB of which 287.69 MiB is free. Including non-PyTorch memory, this process has 7.15 GiB memory in use. Of the allocated memory 5.81 GiB is allocated by PyTorch, and 1.20 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation. See documentation for Memory Management (https://docs.pytorch.org/docs/stable/notes/cuda.html#optimizing-memory-usage-with-pytorch-cuda-alloc-conf)",0.000000,97280,,6261.715820,7464.000000,7699.000000,3403.000000,12288,True,True,32768,28,12,2,128,gqa_mqa,3584.000000,,,6261.715820,3584.000000,,,,,chunked_cache_growth
2026-05-25T14:57:53,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,12288,128,OK,True,,,115.560419,98304,850.671887,4489.794434,5668.000000,5903.000000,3401.000000,12288,False,True,32768,28,12,2,128,gqa_mqa,2688.000000,776.125000,0.288737,4489.794434,2688.000000,776.125000,776.125000,hqq,4,chunked_cache_growth
2026-05-25T15:01:15,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,quantized,8,16384,128,OK,True,,,202.343421,131072,647.770010,4986.294434,6560.000000,6795.000000,3401.000000,16384,False,True,32768,28,12,2,128,gqa_mqa,3584.000000,1028.125000,0.286865,4986.294434,3584.000000,1028.125000,1028.125000,hqq,4,chunked_cache_growth
2026-05-25T15:01:24,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,no_cache,8,12288,128,OK,True,,,8.339348,98304,11787.971625,3043.356445,3240.000000,3475.000000,3401.000000,0,False,True,32768,28,12,2,128,gqa_mqa,2688.000000,,,3043.356445,2688.000000,,,,,chunked_no_cache_lower_bound
2026-05-25T15:01:35,rtx5060-8gb,NVIDIA GeForce RTX 5060,/home/ssu/models/Qwen2.5-1.5B-Instruct,/home/ssu/models/Qwen2.5-1.5B-Instruct,fp16,no_cache,8,16384,128,OK,True,,,11.137239,131072,11768.805474,3043.356445,3240.000000,3475.000000,3401.000000,0,False,True,32768,28,12,2,128,gqa_mqa,3584.000000,,,3043.356445,3584.000000,,,,,chunked_no_cache_lower_bound
